date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:21	185/185	---MC-	200	added ('OK')	text/plain	date:Sat,%2019%20Apr%202025%2018:40:22%20GMT	https://www.satyainvisiblegrills.com/robots.txt		(from )
00:10:23	147816/147816	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Apr%202025%2018:40:23%20GMT	https://www.satyainvisiblegrills.com/?gad_source=1	D:/my%20projects/artt/www.satyainvisiblegrills.com/indexa86a.html	(from )
00:10:25	31515/31515	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2003:17:56%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.31710954049	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/chaty/css/chaty-front.min8003.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:27	147657/147657	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Apr%202025%2018:40:26%20GMT	http://www.satyainvisiblegrills.com/	D:/my%20projects/artt/www.satyainvisiblegrills.com/index.html	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:27	46894/46894	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2019%20Apr%202025%2012:11:54%20GMT	https://www.satyainvisiblegrills.com/feed/	D:/my%20projects/artt/www.satyainvisiblegrills.com/feed/index.html	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:27	5501/5501	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2003:21:01%20GMT	https://www.satyainvisiblegrills.com/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/themes/hello-elementor/style.minb12b.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:27	756/756	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2019%20Apr%202025%2012:11:54%20GMT	https://www.satyainvisiblegrills.com/comments/feed/	D:/my%20projects/artt/www.satyainvisiblegrills.com/comments/feed/index.html	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:28	5146/5146	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2003:21:01%20GMT	https://www.satyainvisiblegrills.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:28	7212/7212	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2003:21:01%20GMT	https://www.satyainvisiblegrills.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:29	53269/53269	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/frontend.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:29	1429/1429	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:56:54%20GMT	https://www.satyainvisiblegrills.com/wp-content/uploads/elementor/css/post-5.css?ver=1742032614	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/uploads/elementor/css/post-52ca8.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:30	254/254	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-image.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:30	26793/26793	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2003:20:45%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.24.1	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.mina120.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:31	704/704	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:31	5150/5150	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:32	7025/7025	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:33	600/600	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-heading.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:33	10310/10310	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:33	10071/10071	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:34	20060/20060	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:19%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.35.0	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minf25c.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:35	9316/9316	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2003:20:45%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.24.1	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor-pro/assets/css/frontend.mina120.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:35	59344/59344	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:19%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:36	26702/26702	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:19%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:36	130/130	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:19%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:37	16471/16471	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:19%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
00:10:37	5486/5486	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2009:50:18%20GMT	https://www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.27.7	D:/my%20projects/artt/www.satyainvisiblegrills.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min7871.css	(from https://www.satyainvisiblegrills.com/?gad_source=1)
